Gemeentecode 2022,CBS statcode,Gemeente 2022
0518,GM0518,'s-Gravenhage
0796,GM0796,'s-Hertogenbosch
1680,GM1680,Aa en Hunze
0358,GM0358,Aalsmeer
0197,GM0197,Aalten
0059,GM0059,Achtkarspelen
0482,GM0482,Alblasserdam
0613,GM0613,Albrandswaard
0361,GM0361,Alkmaar
0141,GM0141,Almelo
0034,GM0034,Almere
0484,GM0484,Alphen aan den Rijn
1723,GM1723,Alphen-Chaam
1959,GM1959,Altena
0060,GM0060,Ameland
0307,GM0307,Amersfoort
0362,GM0362,Amstelveen
0363,GM0363,Amsterdam
0200,GM0200,Apeldoorn
0202,GM0202,Arnhem
0106,GM0106,Assen
0743,GM0743,Asten
0744,GM0744,Baarle-Nassau
0308,GM0308,Baarn
0489,GM0489,Barendrecht
0203,GM0203,Barneveld
0888,GM0888,Beek
1954,GM1954,Beekdaelen
0889,GM0889,Beesel
1945,GM1945,Berg en Dal
1724,GM1724,Bergeijk
0893,GM0893,Bergen (L.)
0373,GM0373,Bergen (NH.)
0748,GM0748,Bergen op Zoom
1859,GM1859,Berkelland
1721,GM1721,Bernheze
0753,GM0753,Best
0209,GM0209,Beuningen
0375,GM0375,Beverwijk
1728,GM1728,Bladel
0376,GM0376,Blaricum
0377,GM0377,Bloemendaal
1901,GM1901,Bodegraven-Reeuwijk
0755,GM0755,Boekel
1681,GM1681,Borger-Odoorn
0147,GM0147,Borne
0654,GM0654,Borsele
0757,GM0757,Boxtel
0758,GM0758,Breda
0501,GM0501,Brielle
1876,GM1876,Bronckhorst
0213,GM0213,Brummen
0899,GM0899,Brunssum
0312,GM0312,Bunnik
0313,GM0313,Bunschoten
0214,GM0214,Buren
0502,GM0502,Capelle aan den IJssel
0383,GM0383,Castricum
0109,GM0109,Coevorden
1706,GM1706,Cranendonck
0216,GM0216,Culemborg
0148,GM0148,Dalfsen
1891,GM1891,Dantumadiel
0310,GM0310,De Bilt
1940,GM1940,De Fryske Marren
0736,GM0736,De Ronde Venen
1690,GM1690,De Wolden
0503,GM0503,Delft
0400,GM0400,Den Helder
0762,GM0762,Deurne
0150,GM0150,Deventer
0384,GM0384,Diemen
1980,GM1980,Dijk en Waard
1774,GM1774,Dinkelland
0221,GM0221,Doesburg
0222,GM0222,Doetinchem
0766,GM0766,Dongen
0505,GM0505,Dordrecht
0498,GM0498,Drechterland
1719,GM1719,Drimmelen
0303,GM0303,Dronten
0225,GM0225,Druten
0226,GM0226,Duiven
1711,GM1711,Echt-Susteren
0385,GM0385,Edam-Volendam
0228,GM0228,Ede
0317,GM0317,Eemnes
1979,GM1979,Eemsdelta
0770,GM0770,Eersel
1903,GM1903,Eijsden-Margraten
0772,GM0772,Eindhoven
0230,GM0230,Elburg
0114,GM0114,Emmen
0388,GM0388,Enkhuizen
0153,GM0153,Enschede
0232,GM0232,Epe
0233,GM0233,Ermelo
0777,GM0777,Etten-Leur
0779,GM0779,Geertruidenberg
1771,GM1771,Geldrop-Mierlo
1652,GM1652,Gemert-Bakel
0907,GM0907,Gennep
0784,GM0784,Gilze en Rijen
1924,GM1924,Goeree-Overflakkee
0664,GM0664,Goes
0785,GM0785,Goirle
1942,GM1942,Gooise Meren
0512,GM0512,Gorinchem
0513,GM0513,Gouda
0014,GM0014,Groningen
1729,GM1729,Gulpen-Wittem
0158,GM0158,Haaksbergen
0392,GM0392,Haarlem
0394,GM0394,Haarlemmermeer
1655,GM1655,Halderberge
0160,GM0160,Hardenberg
0243,GM0243,Harderwijk
0523,GM0523,Hardinxveld-Giessendam
0072,GM0072,Harlingen
0244,GM0244,Hattem
0396,GM0396,Heemskerk
0397,GM0397,Heemstede
0246,GM0246,Heerde
0074,GM0074,Heerenveen
0917,GM0917,Heerlen
1658,GM1658,Heeze-Leende
0399,GM0399,Heiloo
0163,GM0163,Hellendoorn
0530,GM0530,Hellevoetsluis
0794,GM0794,Helmond
0531,GM0531,Hendrik-Ido-Ambacht
0164,GM0164,Hengelo
1966,GM1966,Het Hogeland
0252,GM0252,Heumen
0797,GM0797,Heusden
0534,GM0534,Hillegom
0798,GM0798,Hilvarenbeek
0402,GM0402,Hilversum
1963,GM1963,Hoeksche Waard
